"A1";"A2";"A3";"A4";"A8";"A9";"A11";"A12";"A13";"A14";"A16"
"a";21,75;11,75;"u";0,25;"f";0;"t";"g";180;"-"
"b";22,58;10,04;"u";0,04;"t";9;"f";"g";60;"+"
"b";29,92;1,835;"u";4,335;"t";0;"f";"g";260;"+"
"a";30;5,29;"u";2,25;"t";5;"t";"g";99;"+"
"a";16,5;1,25;"u";0,25;"f";1;"f";"g";108;"-"
"b";22,08;11,46;"u";1,585;"f";0;"t";"g";100;"-"
"b";29,83;1,25;"y";0,25;"f";0;"f";"g";224;"-"
"b";36,33;3,79;"u";1,165;"t";0;"t";"g";200;"-"
"a";15,92;2,875;"u";0,085;"f";0;"f";"g";120;"-"
"b";31,58;0,75;"y";3,5;"f";0;"t";"g";320;"-"
"a";15,83;0,585;"u";1,5;"t";2;"f";"g";100;"+"
"b";20,17;9,25;"u";1,665;"t";3;"t";"g";40;"+"
"b";28,92;0,375;"u";0,29;"f";0;"f";"g";220;"-"
"b";35,25;3,165;"u";3,75;"t";0;"t";"g";680;"-"
"b";29,83;3,5;"u";0,165;"f";0;"f";"g";216;"-"
"b";20,5;10;"y";2,5;"t";0;"f";"s";40;"+"
"a";38,25;6;"u";1;"t";0;"t";"g";0;"+"
"b";23;0,625;"y";0,125;"t";0;"f";"g";180;"-"
"a";47,42;3;"u";13,875;"t";2;"t";"g";519;"+"
"a";49;1,5;"u";0;"t";0;"t";"g";100;"-"
"b";22,75;11,5;"u";0,415;"f";0;"f";"g";0;"-"
"b";18,42;10,415;"y";0,125;"t";0;"f";"g";120;"-"
"a";22,5;8,5;"u";1,75;"t";10;"f";"g";80;"-"
"b";20,08;0,25;"u";0,125;"f";0;"f";"g";200;"-"
"a";36,75;5,125;"u";5;"t";0;"t";"g";0;"+"
"a";28,08;15;"y";0;"t";0;"f";"g";0;"+"
"a";32,17;1,46;"u";1,085;"t";16;"f";"g";120;"+"
"b";24,58;1,25;"u";0,25;"f";0;"f";"g";110;"-"
"b";26,17;0,835;"u";1,165;"f";0;"f";"g";100;"-"
"b";22,83;3;"u";1,29;"t";1;"f";"g";260;"+"
"b";48,08;3,75;"u";1;"f";0;"f";"g";100;"-"
"b";43,17;5;"u";2,25;"f";0;"t";"g";141;"-"
"a";28,58;3,54;"u";0,5;"t";0;"t";"g";171;"-"
"b";21,33;7,5;"u";1,415;"t";1;"f";"g";80;"+"
"b";27,83;1,5;"u";2;"t";11;"t";"g";434;"+"
"b";26,67;1,75;"y";1;"t";5;"t";"g";160;"+"
"b";23;0,75;"u";0,5;"f";0;"t";"s";320;"-"
"a";16;0,165;"u";1;"f";2;"t";"g";320;"-"
"a";37,75;5,5;"u";0,125;"t";0;"t";"g";228;"+"
"b";49,17;2,29;"u";0,29;"f";0;"f";"g";200;"-"
"b";38,17;10,125;"u";2,5;"t";6;"f";"g";520;"+"
"b";22,67;0,165;"u";2,25;"f";0;"t";"s";0;"+"
"a";35,75;0,915;"u";0,75;"t";4;"f";"g";0;"+"
"a";15,75;0,375;"u";1;"f";0;"f";"g";120;"-"
"a";31,75;3;"y";0;"f";0;"f";"g";160;"-"
"b";25,08;1,71;"u";1,665;"t";1;"t";"g";395;"+"
"a";27,67;2,04;"u";0,25;"f";0;"t";"g";180;"-"
"b";59,5;2,75;"u";1,75;"t";5;"t";"g";60;"+"
"b";36,75;0,125;"y";1,5;"f";0;"t";"g";232;"+"
"b";25,67;0,29;"y";1,5;"f";0;"t";"g";160;"-"
"b";19,17;9,5;"u";1,5;"t";0;"f";"g";120;"+"
"b";41,17;4,04;"u";7;"t";8;"f";"g";320;"+"
"b";41,42;5;"u";5;"t";6;"t";"g";470;"+"
"b";48,17;7,625;"u";15,5;"t";12;"f";"g";0;"+"
"b";28,17;0,125;"y";0,085;"f";0;"f";"g";216;"-"
"b";20,42;1,085;"u";1,5;"f";0;"f";"g";108;"-"
"b";33,17;1;"u";0,75;"t";7;"t";"g";340;"+"
"b";34,17;9,17;"u";4,5;"t";12;"t";"g";0;"+"
"b";33,58;0,335;"y";0,085;"f";0;"f";"g";180;"-"
"b";26,33;13;"u";0;"f";0;"t";"g";140;"-"
"b";23,08;0;"u";1;"f";11;"f";"s";0;"-"
"a";23;11,75;"u";0,5;"t";2;"t";"g";300;"+"
"a";64,08;0,165;"u";0;"t";1;"f";"g";232;"+"
"a";23,75;0,71;"u";0,25;"f";1;"t";"g";240;"-"
"b";64,08;20;"u";17,5;"t";9;"t";"g";0;"+"
"a";24,58;0,67;"u";1,75;"t";0;"f";"g";400;"-"
"b";39,33;5,875;"u";10;"t";14;"t";"g";399;"+"
"a";22,67;0,75;"u";2;"f";2;"t";"g";200;"-"
"b";34,5;4,04;"y";8,5;"t";7;"t";"g";195;"+"
"b";54,58;9,415;"u";14,415;"t";11;"t";"g";30;"+"
"a";33,08;4,625;"u";1,625;"t";2;"f";"g";0;"+"
"a";26,58;2,54;"y";0;"f";0;"t";"g";180;"-"
"b";22;0,79;"u";0,29;"f";1;"f";"g";420;"-"
"b";21,5;11,5;"u";0,5;"t";0;"t";"g";100;"-"
"b";23,25;1;"u";0,835;"t";0;"f";"s";300;"+"
"b";34;4,5;"u";1;"t";0;"t";"g";240;"-"
"b";22,25;0,46;"u";0,125;"f";0;"t";"g";280;"-"
"b";21,17;0,25;"y";0,25;"f";0;"f";"g";280;"-"
"a";31,25;3,75;"u";0,625;"t";9;"t";"g";181;"+"
"b";31,08;1,5;"y";0,04;"f";0;"f";"s";160;"-"
"b";24,08;9;"u";0,25;"f";0;"t";"g";0;"-"
"a";32,33;0,54;"u";0,04;"t";0;"f";"g";440;"+"
"b";19,17;4;"y";1;"f";0;"t";"g";360;"-"
"a";18,42;9,25;"u";1,21;"t";4;"f";"g";60;"+"
"a";34,83;1,25;"y";0,5;"f";0;"t";"g";160;"-"
"b";23,17;0;"u";0,085;"t";0;"f";"g";0;"+"
"b";29,83;2,04;"y";0,04;"f";0;"f";"g";128;"-"
"b";18,58;10,29;"u";0,415;"f";0;"f";"g";80;"-"
"b";38,42;0,705;"u";0,375;"f";2;"f";"g";225;"-"
"a";35,42;12;"u";14;"t";8;"f";"g";0;"+"
"b";34,83;2,5;"y";3;"f";0;"f";"s";200;"-"
